years_before_present	Ne_Auto	Ne_X	Ne_X/Ne_Auto	species
0.0	57.32925	345.382455267105	6.02454166532974	PAC
4890.299875	57.32925	345.382455267105	6.02454166532974	PAC
9505.18965	57.32925	345.382455267105	6.02454166532974	PAC
10205.2555263158	57.32925	345.382455267105	6.02454166532974	PAC
15982.0384144737	57.32925	345.382455267105	6.02454166532974	PAC
19796.93661	57.32925	170.8029669751401	2.979333707926409	PAC
22260.0728157895	57.32925	58.0835610144737	1.0131575245528888	PAC
29083.2886381579	57.32925	58.0835610144737	1.0131575245528888	PAC
30942.889395	57.32925	56.20789512615967	0.9804400916837334	PAC
36498.9950131579	57.32925	50.6037901904605	0.8826871133053459	PAC
43012.98969	57.32925	50.6037901904605	0.8826871133053459	PAC
44558.4435	57.32925	50.6037901904605	0.8826871133053459	PAC
53317.954493421	57.32925	54.5711677569079	0.9518904879604722	PAC
56084.05869	57.32925	54.5711677569079	0.9518904879604722	PAC
62837.7908157895	57.32925	54.5711677569079	0.9518904879604722	PAC
70237.50393	57.32925	47.80619624146874	0.8338883945188318	PAC
73184.4105328947	57.32925	45.1120729802632	0.7868945255739993	PAC
84429.90375	57.32925	45.1120729802632	0.7868945255739993	PAC
85565.05221	57.32925	43.987834479769774	0.7672843178616461	PAC
96650.8662039474	57.32925	33.0085667095395	0.5757718217060139	PAC
102163.01667	57.32925	33.0085667095395	0.5757718217060139	PAC
109934.031302632	57.32925	33.0085667095395	0.5757718217060139	PAC
120136.88313	57.32925	29.796650679568426	0.5197460402773179	PAC
124370.074881579	57.32925	28.4640177378289	0.49650078690771116	PAC
139600.163505	57.32925	28.4640177378289	0.49650078690771116	PAC
140059.247243421	57.32925	28.4640177378289	0.49650078690771116	PAC
157111.373157895	57.32925	26.5460266950658	0.46304507201935835	PAC
160676.688975	57.32925	26.5460266950658	0.46304507201935835	PAC
175643.599046053	57.32925	26.5460266950658	0.46304507201935835	PAC
183501.75657	57.32925	26.322024271114017	0.45913777471559486	PAC
195785.461815789	57.32925	25.9718684309211	0.4530299704063998	PAC
208217.54283	57.32925	25.9718684309211	0.4530299704063998	PAC
