years_before_present	Ne_Auto	Ne_X	Ne_X/Ne_Auto	species
0.0	47.4823470721	4535848.1323398	95527.04135396467	BI
1314.63565657895	47.4823470721	4535848.1323398	95527.04135396467	BI
1552.366428	47.4823470721	4535848.1323398	95527.04135396467	BI
2736.82802763158	47.4823470721	4535848.1323398	95527.04135396467	BI
3248.489083	47.4823470721	4535848.1323398	95527.04135396467	BI
4275.25882105263	47.4823470721	4535848.1323398	95527.04135396467	BI
5102.090911	47.4823470721	2296579.468558192	48367.01658978504	BI
5939.41360657895	103.87283462557693	28899.613749417	278.221094606587	BI
7127.731623	183.9015173167	28899.613749417	157.1472284247034	BI
7739.7425881579	183.9015173167	28899.613749417	157.1472284247034	BI
9341.142401	183.9015173167	6009.042238877293	32.67532713462618	BI
9687.17828684211	158.79890027412625	1062.77015456625	6.692553618014013	BI
11759.89531	8.43697598025	1062.77015456625	125.96576748044251	BI
11793.9394026316	8.43697598025	1062.77015456625	125.96576748044251	BI
14073.0484973684	8.43697598025	17.1134388724342	2.0283853969117387	BI
14402.901239	8.43697598025	17.1134388724342	2.0283853969117387	BI
16538.3319947368	4.463972353348101	17.1134388724342	3.833679404308733	BI
17291.246666	3.0631623708	12.918938485254003	4.217516710313984	BI
19205.3848144737	3.0631623708	2.25524243664474	0.736246455017578	BI
20447.356893	3.0631623708	2.25524243664474	0.736246455017578	BI
22090.4449657895	5.710696461689366	2.25524243664474	0.39491548041017455	BI
23896.167517	8.6202860888	3.591255734695464	0.41660516805369624	BI
25211.358181579	8.6202860888	4.56433557809211	0.5294877143372738	BI
27664.957077	8.6202860888	4.56433557809211	0.5294877143372738	BI
28587.5779184211	8.561546757527031	4.56433557809211	0.533120440425008	BI
31783.347054	8.35808577605	9.098291715200215	1.0885616586122226	BI
32239.8438118421	8.35808577605	9.7459405875	1.166049362095192	BI
36190.6639934211	8.35808577605	9.7459405875	1.166049362095192	BI
36283.80393	8.35808577605	9.682918022604285	1.1585090512412037	BI
40464.6366355263	7.256706330240424	6.85398330157895	0.944503331079662	BI
41201.471835	7.0625978354	6.85398330157895	0.9704620681110557	BI
45087.9676342105	7.0625978354	6.85398330157895	0.9704620681110557	BI
46575.511371	7.0625978354	6.680835792659783	0.9459459462881061	BI
50089.5960157895	7.892558733153135	6.27180243967105	0.7946475473569797	BI
52447.928141	8.4495525582	6.27180243967105	0.7422644449479732	BI
55499.9077578947	8.4495525582	6.27180243967105	0.7422644449479732	BI
58865.078926	8.4495525582	7.007000596120035	0.8292747512789871	BI
61352.8258302632	8.869369125172145	7.5505054719079	0.8513013006166154	BI
65877.336979	9.63289725355	7.5505054719079	0.7838249773841739	BI
67684.3632434211	9.63289725355	7.5505054719079	0.7838249773841739	BI
73540.096143	9.63289725355	8.182834179480206	0.8494676071069476	BI
74533.4269105263	9.475364940032273	8.29009855973684	0.8749107408741773	BI
81913.603498	8.3049428309	8.29009855973684	0.998212598031629	BI
81942.6215092105	8.3049428309	8.29009855973684	0.998212598031629	BI
89957.7671644737	8.3049428309	7.63316658513158	0.9191112739188332	BI
91063.796126	8.3049428309	7.63316658513158	0.9191112739188332	BI
98628.2209934211	6.998722330407928	7.63316658513158	1.0906514396159324	BI
101062.80317	6.57832009165	7.165965925429851	1.0893306840641217	BI
108007.680967105	6.57832009165	5.83323149585526	0.8867357341366685	BI
111989.28054	6.57832009165	5.83323149585526	0.8867357341366685	BI
118154.185910526	6.700455987591831	5.83323149585526	0.8705723172657902	BI
123929.080325	6.8148651895	5.088693816731212	0.7467049861194047	BI
129130.276275	6.8148651895	4.41812114763158	0.6483064631181257	BI
136976.422264	6.8148651895	4.41812114763158	0.6483064631181257	BI
141003.798	7.34602544392874	4.41812114763158	0.6014301449613163	BI
151234.061099	8.69526860045	4.336316689408754	0.4986984173420865	BI
153848.384830263	8.69526860045	4.31541172006579	0.49629423981709525	BI
166814.12334	8.69526860045	4.31541172006579	0.49629423981709525	BI
167743.136771053	8.741705574049728	4.31541172006579	0.4936578661349961	BI
182774.227811842	9.493038498316588	5.48752267203947	0.5780575600754783	BI
183839.278736	9.54627534075	5.48752267203947	0.5748338986845465	BI
199034.262836842	9.54627534075	5.48752267203947	0.5748338986845465	BI
202443.744393	9.54627534075	5.699699458252232	0.5970600317719765	BI
216623.885348684	9.421370337213371	6.58214938105263	0.6986403405727367	BI
222773.786833	9.3671992631	6.58214938105263	0.7026806194869308	BI
235651.777468421	9.3671992631	6.58214938105263	0.7026806194869308	BI
244989.562877	9.3671992631	6.685638775070507	0.7137286810377885	BI
256235.624569737	9.501579703294853	6.81027733322368	0.7167521134261587	BI
269265.95641	9.65728058565	6.81027733322368	0.7051961753439415	BI
278502.758368421	9.65728058565	6.81027733322368	0.7051961753439415	BI
295794.084558	9.65728058565	6.741163963034268	0.6980395674793933	BI
302590.478467105	9.952736310680384	6.71399880039474	0.6745882329053446	BI
324782.803865	10.9174905139	6.71399880039474	0.6149763805012304	BI
328647.981623684	10.9174905139	6.71399880039474	0.6149763805012304	BI
356460.383823	10.9174905139	6.925904403449314	0.634386115988042	BI
356836.040206579	10.93387313062426	6.92876656875	0.6336973628625238	BI
387329.253007895	12.263701771510876	6.92876656875	0.5649816587064954	BI
391076.347755	12.4271149857	7.0019104791527935	0.5634381340488085	BI
420315.723698684	12.4271149857	7.57266794289474	0.609366530494703	BI
428902.978992	12.4271149857	7.57266794289474	0.609366530494703	BI
455999.633186842	13.169808721337	7.57266794289474	0.575002120617433	BI
470238.333227	13.5600780604	7.921235917043282	0.5841585779786889	BI
