nodename	dN	dS	id
AFR_MIM	0.004727	0.064692	x_100_17
TENT	0.001119	0.006472	x_100_17
DUM	0.001311	0.00728	x_100_17
TENT_DUM	0.004804	0.054038	x_100_17
BI	0.001295	0.008388	x_100_17
PAC	0.000205	0.002756	x_100_17
SARA	0.000939	0.005834	x_100_17
PAC_SARA	0.000506	0.006164	x_100_17
BI_PAC_SARA	0.003696	0.047821	x_100_17
TENT_DUM_BI_PAC_SARA	0.001318	0.016522	x_100_17
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_17
LIN	0.014931	0.133631	x_100_18
AFR	0.000683	0.005596	x_100_18
MIM	0.001156	0.005942	x_100_18
AFR_MIM	0.005169	0.06122	x_100_18
TENT	0.001361	0.007388	x_100_18
DUM	0.001946	0.007256	x_100_18
TENT_DUM	0.005929	0.050469	x_100_18
BI	0.001483	0.010476	x_100_18
PAC	0.000191	0.003064	x_100_18
SARA	0.000822	0.005436	x_100_18
PAC_SARA	0.000725	0.006492	x_100_18
BI_PAC_SARA	0.003726	0.042456	x_100_18
TENT_DUM_BI_PAC_SARA	0.001684	0.016455	x_100_18
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_18
LIN	0.013571	0.129951	x_100_19
AFR	0.000808	0.006281	x_100_19
MIM	0.001143	0.00746	x_100_19
AFR_MIM	0.005526	0.062081	x_100_19
TENT	0.001103	0.006589	x_100_19
DUM	0.001504	0.00783	x_100_19
TENT_DUM	0.00538	0.051061	x_100_19
BI	0.001309	0.009988	x_100_19
PAC	0.000282	0.003502	x_100_19
SARA	0.000788	0.006785	x_100_19
PAC_SARA	0.000732	0.007007	x_100_19
BI_PAC_SARA	0.003587	0.045836	x_100_19
TENT_DUM_BI_PAC_SARA	0.001916	0.015747	x_100_19
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_19
LIN	0.016672	0.139624	x_100_1
AFR	0.000759	0.006381	x_100_1
MIM	0.001181	0.006317	x_100_1
AFR_MIM	0.006712	0.060688	x_100_1
TENT	0.001512	0.005974	x_100_1
DUM	0.001328	0.007488	x_100_1
TENT_DUM	0.006401	0.051864	x_100_1
BI	0.001685	0.009969	x_100_1
PAC	0.000258	0.002521	x_100_1
SARA	0.000927	0.00567	x_100_1
PAC_SARA	0.000774	0.006484	x_100_1
BI_PAC_SARA	0.004535	0.044293	x_100_1
TENT_DUM_BI_PAC_SARA	0.002364	0.015183	x_100_1
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_1
LIN	0.015683	0.137253	x_100_20
AFR	0.000863	0.006714	x_100_20
MIM	0.001393	0.006653	x_100_20
AFR_MIM	0.005585	0.060666	x_100_20
TENT	0.001517	0.006611	x_100_20
DUM	0.001597	0.006506	x_100_20
TENT_DUM	0.006597	0.050672	x_100_20
BI	0.001721	0.011358	x_100_20
PAC	0.000221	0.003764	x_100_20
SARA	0.001026	0.008022	x_100_20
PAC_SARA	0.000575	0.005036	x_100_20
BI_PAC_SARA	0.00391	0.044776	x_100_20
TENT_DUM_BI_PAC_SARA	0.001885	0.015409	x_100_20
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_20
LIN	0.014268	0.130889	x_100_21
AFR	0.000868	0.005967	x_100_21
MIM	0.001498	0.006657	x_100_21
AFR_MIM	0.005409	0.05685	x_100_21
TENT	0.001285	0.006184	x_100_21
DUM	0.001312	0.007335	x_100_21
TENT_DUM	0.00532	0.051565	x_100_21
BI	0.001759	0.011037	x_100_21
PAC	0.000267	0.002808	x_100_21
SARA	0.001062	0.007144	x_100_21
PAC_SARA	0.000614	0.00563	x_100_21
BI_PAC_SARA	0.003934	0.042412	x_100_21
TENT_DUM_BI_PAC_SARA	0.001475	0.01498	x_100_21
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_21
LIN	0.015647	0.132891	x_100_22
AFR	0.00073	0.006184	x_100_22
MIM	0.001572	0.006221	x_100_22
AFR_MIM	0.006118	0.061005	x_100_22
TENT	0.001162	0.007387	x_100_22
DUM	0.001658	0.007776	x_100_22
TENT_DUM	0.006154	0.04832	x_100_22
BI	0.001728	0.010664	x_100_22
PAC	0.000277	0.00256	x_100_22
SARA	0.000939	0.00702	x_100_22
PAC_SARA	0.000686	0.005824	x_100_22
BI_PAC_SARA	0.004046	0.042009	x_100_22
TENT_DUM_BI_PAC_SARA	0.001694	0.014567	x_100_22
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_22
LIN	0.013688	0.133841	x_100_23
AFR	0.000808	0.006274	x_100_23
MIM	0.001342	0.007091	x_100_23
AFR_MIM	0.005259	0.058819	x_100_23
TENT	0.001038	0.006824	x_100_23
DUM	0.001541	0.006496	x_100_23
TENT_DUM	0.005707	0.050875	x_100_23
BI	0.001365	0.009106	x_100_23
PAC	0.000158	0.002988	x_100_23
SARA	0.001049	0.005874	x_100_23
PAC_SARA	0.000588	0.005749	x_100_23
BI_PAC_SARA	0.003734	0.043373	x_100_23
TENT_DUM_BI_PAC_SARA	0.001583	0.016255	x_100_23
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_23
LIN	0.013632	0.13059	x_100_24
AFR	0.000865	0.005164	x_100_24
MIM	0.001585	0.006667	x_100_24
AFR_MIM	0.005911	0.058134	x_100_24
TENT	0.001225	0.00651	x_100_24
DUM	0.001426	0.006899	x_100_24
TENT_DUM	0.005619	0.050909	x_100_24
BI	0.001714	0.011277	x_100_24
PAC	0.000213	0.003123	x_100_24
SARA	0.001037	0.005872	x_100_24
PAC_SARA	0.000668	0.006402	x_100_24
BI_PAC_SARA	0.003986	0.044773	x_100_24
TENT_DUM_BI_PAC_SARA	0.001708	0.015521	x_100_24
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_24
LIN	0.014853	0.130387	x_100_25
AFR	0.000688	0.006365	x_100_25
MIM	0.001014	0.006642	x_100_25
AFR_MIM	0.005887	0.058638	x_100_25
TENT	0.001401	0.0067	x_100_25
DUM	0.00152	0.006673	x_100_25
TENT_DUM	0.006101	0.050952	x_100_25
BI	0.00155	0.010374	x_100_25
PAC	0.000156	0.002268	x_100_25
SARA	0.000891	0.006082	x_100_25
PAC_SARA	0.000711	0.00624	x_100_25
BI_PAC_SARA	0.004065	0.043779	x_100_25
TENT_DUM_BI_PAC_SARA	0.001816	0.016432	x_100_25
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_25
LIN	0.013728	0.139294	x_100_26
AFR	0.000853	0.006987	x_100_26
MIM	0.001681	0.00688	x_100_26
AFR_MIM	0.005338	0.063005	x_100_26
TENT	0.001312	0.007897	x_100_26
DUM	0.001544	0.006787	x_100_26
