nodename	dN	dS	id
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_46
LIN	0.012255	0.140424	x_100_47
AFR	0.000781	0.006069	x_100_47
MIM	0.001352	0.006732	x_100_47
AFR_MIM	0.005133	0.064322	x_100_47
TENT	0.00127	0.006518	x_100_47
DUM	0.001409	0.007517	x_100_47
TENT_DUM	0.00505	0.049921	x_100_47
BI	0.001291	0.010196	x_100_47
PAC	0.000267	0.002849	x_100_47
SARA	0.000673	0.006018	x_100_47
PAC_SARA	0.000569	0.006521	x_100_47
BI_PAC_SARA	0.003397	0.046488	x_100_47
TENT_DUM_BI_PAC_SARA	0.001702	0.0178	x_100_47
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_47
LIN	0.01594	0.134589	x_100_48
AFR	0.000724	0.006214	x_100_48
MIM	0.001708	0.006653	x_100_48
AFR_MIM	0.005616	0.061101	x_100_48
TENT	0.001544	0.007779	x_100_48
DUM	0.001757	0.006652	x_100_48
TENT_DUM	0.006172	0.050444	x_100_48
BI	0.001616	0.010171	x_100_48
PAC	0.000173	0.003276	x_100_48
SARA	0.000999	0.006629	x_100_48
PAC_SARA	0.000643	0.005428	x_100_48
BI_PAC_SARA	0.004108	0.044809	x_100_48
TENT_DUM_BI_PAC_SARA	0.002026	0.015567	x_100_48
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_48
LIN	0.014176	0.142142	x_100_49
AFR	0.000756	0.007245	x_100_49
MIM	0.001164	0.006588	x_100_49
AFR_MIM	0.004693	0.065316	x_100_49
TENT	0.001249	0.006672	x_100_49
DUM	0.001351	0.006472	x_100_49
TENT_DUM	0.00592	0.05371	x_100_49
BI	0.001152	0.009398	x_100_49
PAC	7.9e-05	0.002723	x_100_49
SARA	0.000718	0.005866	x_100_49
PAC_SARA	0.000657	0.006592	x_100_49
BI_PAC_SARA	0.003557	0.047378	x_100_49
TENT_DUM_BI_PAC_SARA	0.001626	0.01579	x_100_49
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_49
LIN	0.014094	0.13739	x_100_4
AFR	0.000749	0.006595	x_100_4
MIM	0.001317	0.006473	x_100_4
AFR_MIM	0.005339	0.066659	x_100_4
TENT	0.001194	0.006457	x_100_4
DUM	0.001765	0.008073	x_100_4
TENT_DUM	0.005916	0.051719	x_100_4
BI	0.001691	0.009301	x_100_4
PAC	0.000224	0.002061	x_100_4
SARA	0.000962	0.005613	x_100_4
PAC_SARA	0.000621	0.006051	x_100_4
BI_PAC_SARA	0.003809	0.045056	x_100_4
TENT_DUM_BI_PAC_SARA	0.001362	0.015438	x_100_4
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_4
LIN	0.013289	0.129637	x_100_50
AFR	0.00068	0.007086	x_100_50
MIM	0.001015	0.006845	x_100_50
AFR_MIM	0.005047	0.063095	x_100_50
TENT	0.001239	0.00739	x_100_50
DUM	0.001358	0.006751	x_100_50
TENT_DUM	0.005378	0.049968	x_100_50
BI	0.001381	0.010204	x_100_50
PAC	0.000175	0.002617	x_100_50
SARA	0.000951	0.006213	x_100_50
PAC_SARA	0.000746	0.007282	x_100_50
BI_PAC_SARA	0.003398	0.04125	x_100_50
TENT_DUM_BI_PAC_SARA	0.001529	0.015256	x_100_50
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_50
LIN	0.013054	0.125493	x_100_51
AFR	0.000803	0.006735	x_100_51
MIM	0.001264	0.006199	x_100_51
AFR_MIM	0.005039	0.059252	x_100_51
TENT	0.001342	0.006334	x_100_51
DUM	0.001375	0.007083	x_100_51
TENT_DUM	0.005653	0.05008	x_100_51
BI	0.001517	0.009289	x_100_51
PAC	0.000218	0.002328	x_100_51
SARA	0.000902	0.005896	x_100_51
PAC_SARA	0.000678	0.006515	x_100_51
BI_PAC_SARA	0.003622	0.041319	x_100_51
TENT_DUM_BI_PAC_SARA	0.001363	0.014996	x_100_51
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_51
LIN	0.013481	0.130899	x_100_52
AFR	0.000747	0.007235	x_100_52
MIM	0.001434	0.006115	x_100_52
AFR_MIM	0.004405	0.058842	x_100_52
TENT	0.001313	0.006297	x_100_52
DUM	0.00132	0.006281	x_100_52
TENT_DUM	0.005862	0.051505	x_100_52
BI	0.001419	0.009246	x_100_52
PAC	0.000182	0.002281	x_100_52
SARA	0.001209	0.00659	x_100_52
PAC_SARA	0.000504	0.004891	x_100_52
BI_PAC_SARA	0.003512	0.043204	x_100_52
TENT_DUM_BI_PAC_SARA	0.001597	0.0148	x_100_52
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_52
LIN	0.011639	0.126472	x_100_53
AFR	0.000685	0.007005	x_100_53
MIM	0.001654	0.007925	x_100_53
AFR_MIM	0.004189	0.058362	x_100_53
TENT	0.001371	0.007666	x_100_53
DUM	0.001601	0.007446	x_100_53
TENT_DUM	0.004956	0.04978	x_100_53
BI	0.001331	0.011168	x_100_53
PAC	0.000131	0.00236	x_100_53
SARA	0.000797	0.005785	x_100_53
PAC_SARA	0.000594	0.006456	x_100_53
BI_PAC_SARA	0.003024	0.043408	x_100_53
TENT_DUM_BI_PAC_SARA	0.001243	0.016127	x_100_53
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_53
LIN	0.012946	0.130599	x_100_54
AFR	0.00085	0.006371	x_100_54
MIM	0.001362	0.006215	x_100_54
AFR_MIM	0.004952	0.06002	x_100_54
TENT	0.001201	0.006696	x_100_54
DUM	0.001442	0.006868	x_100_54
TENT_DUM	0.005574	0.050467	x_100_54
BI	0.001427	0.009984	x_100_54
PAC	0.000163	0.002612	x_100_54
SARA	0.001016	0.006003	x_100_54
PAC_SARA	0.000566	0.005712	x_100_54
BI_PAC_SARA	0.00355	0.044302	x_100_54
TENT_DUM_BI_PAC_SARA	0.001637	0.016189	x_100_54
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_54
LIN	0.012499	0.131909	x_100_55
AFR	0.000842	0.006724	x_100_55
MIM	0.001231	0.007853	x_100_55
AFR_MIM	0.004488	0.061755	x_100_55
TENT	0.001443	0.006488	x_100_55
DUM	0.001528	0.007477	x_100_55
TENT_DUM	0.005375	0.053587	x_100_55
BI	0.001364	0.011366	x_100_55
PAC	0.00019	0.003287	x_100_55
SARA	0.000767	0.006859	x_100_55
PAC_SARA	0.00052	0.005486	x_100_55
BI_PAC_SARA	0.003457	0.043719	x_100_55
TENT_DUM_BI_PAC_SARA	0.001354	0.013367	x_100_55
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_55
LIN	0.01179	0.134576	x_100_56
AFR	0.000684	0.006933	x_100_56
MIM	0.001093	0.005589	x_100_56
AFR_MIM	0.004581	0.059725	x_100_56
TENT	0.00101	0.006602	x_100_56
DUM	0.0012	0.00744	x_100_56
TENT_DUM	0.004862	0.048147	x_100_56
BI	0.001163	0.010136	x_100_56
PAC	0.00022	0.002709	x_100_56
SARA	0.00099	0.005757	x_100_56
PAC_SARA	0.000598	0.006831	x_100_56
BI_PAC_SARA	0.003366	0.044818	x_100_56
TENT_DUM_BI_PAC_SARA	0.001903	0.015205	x_100_56
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_56
LIN	0.015447	0.136358	x_100_57
AFR	0.000701	0.006316	x_100_57
MIM	0.001475	0.007525	x_100_57
AFR_MIM	0.005663	0.058111	x_100_57
TENT	0.001174	0.00606	x_100_57
DUM	0.001472	0.006223	x_100_57
TENT_DUM	0.005959	0.05047	x_100_57
BI	0.00157	0.01081	x_100_57
PAC	0.000188	0.002305	x_100_57
SARA	0.000886	0.005327	x_100_57
PAC_SARA	0.000688	0.006073	x_100_57
BI_PAC_SARA	0.003788	0.044422	x_100_57
TENT_DUM_BI_PAC_SARA	0.001478	0.015362	x_100_57
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_57
LIN	0.017198	0.137555	x_100_58
AFR	0.000852	0.006281	x_100_58
MIM	0.001217	0.006306	x_100_58
AFR_MIM	0.00625	0.05829	x_100_58
TENT	0.0017	0.006223	x_100_58
DUM	0.001561	0.00723	x_100_58
TENT_DUM	0.006283	0.050241	x_100_58
BI	0.001743	0.010177	x_100_58
PAC	0.000224	0.002809	x_100_58
SARA	0.000843	0.005753	x_100_58
PAC_SARA	0.000983	0.007865	x_100_58
BI_PAC_SARA	0.004592	0.045176	x_100_58
TENT_DUM_BI_PAC_SARA	0.001946	0.015185	x_100_58
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_58
LIN	0.014992	0.136646	x_100_59
AFR	0.000818	0.006826	x_100_59
MIM	0.00119	0.006084	x_100_59
AFR_MIM	0.006017	0.062141	x_100_59
TENT	0.001129	0.00563	x_100_59
DUM	0.00132	0.006857	x_100_59
TENT_DUM	0.005682	0.053474	x_100_59
BI	0.001774	0.010259	x_100_59
PAC	0.000303	0.003975	x_100_59
SARA	0.001045	0.006317	x_100_59
PAC_SARA	0.000606	0.005522	x_100_59
BI_PAC_SARA	0.00438	0.044563	x_100_59
TENT_DUM_BI_PAC_SARA	0.001887	0.013495	x_100_59
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_59
LIN	0.012554	0.12876	x_100_5
AFR	0.00082	0.005458	x_100_5
MIM	0.001612	0.006859	x_100_5
AFR_MIM	0.004814	0.061014	x_100_5
TENT	0.001139	0.006778	x_100_5
DUM	0.001351	0.006136	x_100_5
TENT_DUM	0.005246	0.046437	x_100_5
BI	0.00138	0.009644	x_100_5
PAC	0.000176	0.003236	x_100_5
SARA	0.000918	0.00724	x_100_5
PAC_SARA	0.000471	0.004831	x_100_5
BI_PAC_SARA	0.00343	0.044156	x_100_5
TENT_DUM_BI_PAC_SARA	0.001567	0.015786	x_100_5
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_5
LIN	0.013581	0.129616	x_100_60
AFR	0.000802	0.006774	x_100_60
MIM	0.001256	0.006945	x_100_60
AFR_MIM	0.005799	0.067026	x_100_60
TENT	0.001152	0.006845	x_100_60
DUM	0.001542	0.006741	x_100_60
TENT_DUM	0.006035	0.051529	x_100_60
BI	0.001567	0.01026	x_100_60
PAC	0.000281	0.00344	x_100_60
SARA	0.000995	0.006417	x_100_60
PAC_SARA	0.000621	0.005924	x_100_60
BI_PAC_SARA	0.004075	0.047367	x_100_60
TENT_DUM_BI_PAC_SARA	0.001517	0.014868	x_100_60
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_60
LIN	0.014378	0.13826	x_100_61
AFR	0.000844	0.006542	x_100_61
MIM	0.001155	0.005723	x_100_61
AFR_MIM	0.005577	0.060523	x_100_61
TENT	0.00129	0.006389	x_100_61
DUM	0.001247	0.006937	x_100_61
TENT_DUM	0.005702	0.054264	x_100_61
BI	0.00159	0.0093	x_100_61
PAC	0.000152	0.002683	x_100_61
SARA	0.000882	0.005649	x_100_61
PAC_SARA	0.000676	0.006504	x_100_61
BI_PAC_SARA	0.003922	0.047562	x_100_61
TENT_DUM_BI_PAC_SARA	0.001728	0.016528	x_100_61
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_61
LIN	0.014163	0.132442	x_100_62
AFR	0.000816	0.00639	x_100_62
MIM	0.001357	0.006115	x_100_62
AFR_MIM	0.005794	0.063924	x_100_62
TENT	0.001466	0.00734	x_100_62
DUM	0.001784	0.006829	x_100_62
TENT_DUM	0.006329	0.050057	x_100_62
BI	0.001612	0.010246	x_100_62
PAC	0.000321	0.003403	x_100_62
SARA	0.00112	0.006642	x_100_62
PAC_SARA	0.000715	0.006685	x_100_62
BI_PAC_SARA	0.003976	0.045988	x_100_62
TENT_DUM_BI_PAC_SARA	0.001464	0.014148	x_100_62
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_62
LIN	0.015184	0.127241	x_100_63
AFR	0.000669	0.00613	x_100_63
MIM	0.001312	0.007323	x_100_63
AFR_MIM	0.00565	0.059821	x_100_63
TENT	0.001477	0.007196	x_100_63
DUM	0.001422	0.007232	x_100_63
TENT_DUM	0.005928	0.052915	x_100_63
BI	0.001536	0.009598	x_100_63
PAC	0.000211	0.002343	x_100_63
SARA	0.000838	0.005807	x_100_63
PAC_SARA	0.000824	0.006908	x_100_63
BI_PAC_SARA	0.003828	0.043218	x_100_63
TENT_DUM_BI_PAC_SARA	0.001824	0.013793	x_100_63
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_63
LIN	0.012012	0.129007	x_100_64
AFR	0.00057	0.00628	x_100_64
MIM	0.001461	0.007139	x_100_64
AFR_MIM	0.004774	0.062564	x_100_64
TENT	0.001191	0.006194	x_100_64
DUM	0.001367	0.006998	x_100_64
TENT_DUM	0.005072	0.050036	x_100_64
BI	0.001343	0.009058	x_100_64
PAC	0.0002	0.003581	x_100_64
SARA	0.001011	0.006401	x_100_64
PAC_SARA	0.000545	0.005854	x_100_64
BI_PAC_SARA	0.003226	0.043081	x_100_64
TENT_DUM_BI_PAC_SARA	0.00169	0.016972	x_100_64
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_64
LIN	0.013645	0.136017	x_100_65
AFR	0.000775	0.006287	x_100_65
MIM	0.001412	0.006562	x_100_65
AFR_MIM	0.00466	0.059481	x_100_65
TENT	0.001244	0.006928	x_100_65
DUM	0.001259	0.006593	x_100_65
TENT_DUM	0.005499	0.04974	x_100_65
BI	0.001521	0.010551	x_100_65
PAC	0.000101	0.00226	x_100_65
SARA	0.00075	0.005372	x_100_65
PAC_SARA	0.000602	0.006002	x_100_65
BI_PAC_SARA	0.003508	0.043786	x_100_65
TENT_DUM_BI_PAC_SARA	0.001787	0.01542	x_100_65
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_65
LIN	0.013492	0.134661	x_100_66
AFR	0.000747	0.006905	x_100_66
MIM	0.001444	0.00604	x_100_66
AFR_MIM	0.005275	0.061378	x_100_66
TENT	0.001262	0.006637	x_100_66
DUM	0.001817	0.005802	x_100_66
TENT_DUM	0.006108	0.052684	x_100_66
BI	0.001379	0.010451	x_100_66
PAC	0.000116	0.002306	x_100_66
SARA	0.000739	0.005125	x_100_66
PAC_SARA	0.000622	0.006205	x_100_66
BI_PAC_SARA	0.003597	0.045136	x_100_66
TENT_DUM_BI_PAC_SARA	0.001711	0.015575	x_100_66
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_66
LIN	0.013271	0.134702	x_100_67
AFR	0.000677	0.006141	x_100_67
MIM	0.001575	0.007033	x_100_67
AFR_MIM	0.004684	0.059823	x_100_67
TENT	0.001114	0.006993	x_100_67
DUM	0.001622	0.006263	x_100_67
TENT_DUM	0.005119	0.049087	x_100_67
BI	0.001226	0.010078	x_100_67
PAC	0.000243	0.00249	x_100_67
SARA	0.00086	0.006063	x_100_67
PAC_SARA	0.000693	0.00703	x_100_67
BI_PAC_SARA	0.003783	0.041244	x_100_67
TENT_DUM_BI_PAC_SARA	0.001771	0.014625	x_100_67
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_67
LIN	0.014751	0.129756	x_100_68
AFR	0.000841	0.006487	x_100_68
MIM	0.001491	0.007232	x_100_68
AFR_MIM	0.005574	0.060367	x_100_68
TENT	0.001232	0.007282	x_100_68
DUM	0.001472	0.00719	x_100_68
TENT_DUM	0.006338	0.050617	x_100_68
BI	0.001547	0.010358	x_100_68
PAC	0.000278	0.003189	x_100_68
SARA	0.001083	0.006611	x_100_68
PAC_SARA	0.000834	0.007337	x_100_68
BI_PAC_SARA	0.0042	0.043399	x_100_68
TENT_DUM_BI_PAC_SARA	0.001827	0.016908	x_100_68
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_68
LIN	0.013044	0.134902	x_100_69
AFR	0.000709	0.007037	x_100_69
MIM	0.001444	0.006839	x_100_69
AFR_MIM	0.005241	0.062537	x_100_69
TENT	0.001242	0.006955	x_100_69
DUM	0.001685	0.006956	x_100_69
TENT_DUM	0.005683	0.050832	x_100_69
BI	0.001469	0.010266	x_100_69
PAC	0.000246	0.002974	x_100_69
SARA	0.000989	0.006596	x_100_69
PAC_SARA	0.000621	0.006421	x_100_69
BI_PAC_SARA	0.003676	0.046956	x_100_69
TENT_DUM_BI_PAC_SARA	0.001554	0.015129	x_100_69
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_69
LIN	0.012712	0.130364	x_100_6
AFR	0.000857	0.005805	x_100_6
MIM	0.001381	0.006572	x_100_6
AFR_MIM	0.005111	0.060623	x_100_6
TENT	0.001174	0.005821	x_100_6
DUM	0.001363	0.006659	x_100_6
TENT_DUM	0.004999	0.05319	x_100_6
BI	0.001349	0.010903	x_100_6
PAC	0.000205	0.00241	x_100_6
SARA	0.000922	0.005858	x_100_6
PAC_SARA	0.000613	0.006284	x_100_6
BI_PAC_SARA	0.003262	0.042794	x_100_6
TENT_DUM_BI_PAC_SARA	0.001418	0.016106	x_100_6
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_6
LIN	0.013296	0.13043	x_100_70
AFR	0.000739	0.006969	x_100_70
MIM	0.001376	0.006773	x_100_70
AFR_MIM	0.004775	0.058377	x_100_70
TENT	0.001191	0.00694	x_100_70
DUM	0.0016	0.006506	x_100_70
TENT_DUM	0.004919	0.050572	x_100_70
BI	0.00148	0.010445	x_100_70
PAC	0.000135	0.002352	x_100_70
SARA	0.000818	0.006474	x_100_70
PAC_SARA	0.000611	0.005997	x_100_70
BI_PAC_SARA	0.003069	0.043393	x_100_70
TENT_DUM_BI_PAC_SARA	0.001421	0.01439	x_100_70
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_70
LIN	0.016085	0.141111	x_100_71
AFR	0.000708	0.00661	x_100_71
MIM	0.001181	0.006786	x_100_71
AFR_MIM	0.006269	0.064143	x_100_71
TENT	0.001395	0.00757	x_100_71
DUM	0.001432	0.007235	x_100_71
TENT_DUM	0.005992	0.050252	x_100_71
BI	0.0014	0.010586	x_100_71
PAC	0.000301	0.003511	x_100_71
SARA	0.001097	0.007924	x_100_71
PAC_SARA	0.000764	0.006706	x_100_71
BI_PAC_SARA	0.004098	0.045485	x_100_71
TENT_DUM_BI_PAC_SARA	0.00197	0.016177	x_100_71
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_71
LIN	0.012899	0.135541	x_100_72
AFR	0.000744	0.006774	x_100_72
MIM	0.001082	0.006387	x_100_72
AFR_MIM	0.004856	0.062812	x_100_72
TENT	0.00104	0.007171	x_100_72
DUM	0.001326	0.00727	x_100_72
TENT_DUM	0.005279	0.052595	x_100_72
BI	0.001352	0.009273	x_100_72
PAC	0.000176	0.002703	x_100_72
SARA	0.001057	0.005885	x_100_72
PAC_SARA	0.000685	0.007194	x_100_72
BI_PAC_SARA	0.003429	0.044268	x_100_72
TENT_DUM_BI_PAC_SARA	0.001892	0.016323	x_100_72
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_72
LIN	0.012377	0.13729	x_100_73
AFR	0.00078	0.007198	x_100_73
MIM	0.001383	0.006968	x_100_73
AFR_MIM	0.004808	0.060316	x_100_73
TENT	0.001018	0.006569	x_100_73
DUM	0.001277	0.007406	x_100_73
TENT_DUM	0.004925	0.051246	x_100_73
BI	0.001443	0.010085	x_100_73
PAC	0.000208	0.002235	x_100_73
SARA	0.000873	0.006263	x_100_73
PAC_SARA	0.000602	0.006673	x_100_73
BI_PAC_SARA	0.003818	0.044916	x_100_73
TENT_DUM_BI_PAC_SARA	0.001599	0.015506	x_100_73
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_73
LIN	0.013153	0.135019	x_100_74
AFR	0.00072	0.006481	x_100_74
MIM	0.001367	0.007395	x_100_74
AFR_MIM	0.004662	0.058487	x_100_74
TENT	0.001098	0.006686	x_100_74
DUM	0.001462	0.006856	x_100_74
TENT_DUM	0.005299	0.052444	x_100_74
BI	0.001382	0.010284	x_100_74
PAC	0.000167	0.002687	x_100_74
SARA	0.000668	0.005728	x_100_74
PAC_SARA	0.000638	0.006552	x_100_74
BI_PAC_SARA	0.00327	0.042816	x_100_74
TENT_DUM_BI_PAC_SARA	0.001242	0.015499	x_100_74
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_74
LIN	0.013822	0.133565	x_100_75
AFR	0.000707	0.006757	x_100_75
MIM	0.001053	0.006449	x_100_75
AFR_MIM	0.005584	0.062297	x_100_75
TENT	0.001515	0.006556	x_100_75
DUM	0.001453	0.005834	x_100_75
TENT_DUM	0.005619	0.050519	x_100_75
BI	0.001546	0.009926	x_100_75
PAC	0.000229	0.002551	x_100_75
SARA	0.001007	0.005552	x_100_75
PAC_SARA	0.000577	0.005576	x_100_75
BI_PAC_SARA	0.003961	0.045414	x_100_75
TENT_DUM_BI_PAC_SARA	0.00174	0.015264	x_100_75
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_75
LIN	0.011936	0.13561	x_100_76
AFR	0.000785	0.006002	x_100_76
MIM	0.001357	0.007674	x_100_76
AFR_MIM	0.004888	0.061471	x_100_76
TENT	0.001106	0.007016	x_100_76
DUM	0.001584	0.006275	x_100_76
TENT_DUM	0.005368	0.051808	x_100_76
BI	0.001488	0.009851	x_100_76
PAC	0.000167	0.002112	x_100_76
SARA	0.000936	0.006338	x_100_76
PAC_SARA	0.000642	0.007289	x_100_76
BI_PAC_SARA	0.003371	0.04614	x_100_76
TENT_DUM_BI_PAC_SARA	0.001498	0.015063	x_100_76
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_76
LIN	0.013057	0.132127	x_100_77
AFR	0.00068	0.006379	x_100_77
MIM	0.000998	0.006592	x_100_77
AFR_MIM	0.005021	0.06093	x_100_77
TENT	0.001153	0.006192	x_100_77
DUM	0.001844	0.007093	x_100_77
TENT_DUM	0.005176	0.04931	x_100_77
BI	0.001438	0.010435	x_100_77
PAC	0.000174	0.001929	x_100_77
SARA	0.000792	0.005456	x_100_77
PAC_SARA	0.000617	0.006246	x_100_77
BI_PAC_SARA	0.003912	0.043	x_100_77
TENT_DUM_BI_PAC_SARA	0.001644	0.015639	x_100_77
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_77
LIN	0.013536	0.136663	x_100_78
AFR	0.000742	0.006319	x_100_78
MIM	0.001522	0.00653	x_100_78
AFR_MIM	0.004934	0.061297	x_100_78
TENT	0.001326	0.006095	x_100_78
DUM	0.001488	0.007178	x_100_78
TENT_DUM	0.005402	0.050487	x_100_78
BI	0.00145	0.010853	x_100_78
PAC	0.000201	0.003238	x_100_78
SARA	0.001033	0.00737	x_100_78
PAC_SARA	0.000581	0.005864	x_100_78
BI_PAC_SARA	0.003439	0.043651	x_100_78
TENT_DUM_BI_PAC_SARA	0.001303	0.016679	x_100_78
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_78
LIN	0.01453	0.133265	x_100_79
AFR	0.000906	0.006822	x_100_79
MIM	0.00116	0.006634	x_100_79
AFR_MIM	0.005616	0.061863	x_100_79
TENT	0.001437	0.006242	x_100_79
DUM	0.001142	0.006414	x_100_79
TENT_DUM	0.00565	0.052068	x_100_79
BI	0.001485	0.009934	x_100_79
PAC	0.000247	0.003387	x_100_79
SARA	0.001098	0.006238	x_100_79
PAC_SARA	0.00066	0.006052	x_100_79
BI_PAC_SARA	0.0042	0.046704	x_100_79
TENT_DUM_BI_PAC_SARA	0.00189	0.014748	x_100_79
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_79
LIN	0.014371	0.128979	x_100_7
AFR	0.000765	0.006158	x_100_7
MIM	0.001435	0.006253	x_100_7
AFR_MIM	0.004821	0.059778	x_100_7
TENT	0.001591	0.006655	x_100_7
DUM	0.001552	0.007693	x_100_7
TENT_DUM	0.005657	0.051682	x_100_7
BI	0.001439	0.010578	x_100_7
PAC	8.5e-05	0.001406	x_100_7
SARA	0.000871	0.005476	x_100_7
PAC_SARA	0.000661	0.005931	x_100_7
BI_PAC_SARA	0.003648	0.042267	x_100_7
TENT_DUM_BI_PAC_SARA	0.001611	0.013521	x_100_7
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_7
LIN	0.01237	0.13436	x_100_80
AFR	0.000919	0.006348	x_100_80
MIM	0.001303	0.006517	x_100_80
AFR_MIM	0.005292	0.058758	x_100_80
TENT	0.001396	0.006773	x_100_80
DUM	0.001546	0.007473	x_100_80
TENT_DUM	0.004816	0.051419	x_100_80
BI	0.00157	0.010378	x_100_80
PAC	0.000233	0.002297	x_100_80
SARA	0.000899	0.005587	x_100_80
PAC_SARA	0.00067	0.007281	x_100_80
BI_PAC_SARA	0.0034	0.044314	x_100_80
TENT_DUM_BI_PAC_SARA	0.001496	0.015811	x_100_80
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_80
LIN	0.011239	0.129188	x_100_81
AFR	0.000579	0.006131	x_100_81
MIM	0.001151	0.006785	x_100_81
AFR_MIM	0.004268	0.05893	x_100_81
TENT	0.000971	0.006864	x_100_81
DUM	0.001239	0.006585	x_100_81
TENT_DUM	0.004618	0.049625	x_100_81
BI	0.001146	0.0103	x_100_81
PAC	0.000104	0.001682	x_100_81
SARA	0.000749	0.005352	x_100_81
PAC_SARA	0.000609	0.007001	x_100_81
BI_PAC_SARA	0.002998	0.040621	x_100_81
TENT_DUM_BI_PAC_SARA	0.00121	0.014773	x_100_81
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_81
LIN	0.012755	0.129826	x_100_82
AFR	0.000874	0.006255	x_100_82
MIM	0.001519	0.006848	x_100_82
AFR_MIM	0.005223	0.059552	x_100_82
TENT	0.001424	0.008239	x_100_82
DUM	0.001297	0.007599	x_100_82
TENT_DUM	0.005449	0.052477	x_100_82
BI	0.001383	0.011384	x_100_82
PAC	0.00017	0.0029	x_100_82
SARA	0.000947	0.005977	x_100_82
PAC_SARA	0.000622	0.006333	x_100_82
BI_PAC_SARA	0.003682	0.045401	x_100_82
TENT_DUM_BI_PAC_SARA	0.001261	0.014876	x_100_82
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_82
LIN	0.014167	0.130206	x_100_83
AFR	0.000631	0.006006	x_100_83
MIM	0.001468	0.007631	x_100_83
AFR_MIM	0.005278	0.06349	x_100_83
TENT	0.001456	0.007415	x_100_83
DUM	0.001351	0.006787	x_100_83
TENT_DUM	0.006	0.051258	x_100_83
BI	0.001578	0.009836	x_100_83
PAC	0.000237	0.00295	x_100_83
SARA	0.000966	0.005368	x_100_83
PAC_SARA	0.000767	0.007047	x_100_83
BI_PAC_SARA	0.00385	0.044595	x_100_83
TENT_DUM_BI_PAC_SARA	0.001873	0.01715	x_100_83
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	x_100_83
LIN	0.010623	0.132365	x_100_84
AFR	0.00074	0.006875	x_100_84
MIM	0.000948	0.005452	x_100_84
