nodename	dN	dS	id
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_107
LIN	0.00973	0.134896	auto_500_108
AFR	0.000745	0.008309	auto_500_108
MIM	0.001078	0.008254	auto_500_108
AFR_MIM	0.004237	0.056603	auto_500_108
TENT	0.001085	0.007006	auto_500_108
DUM	0.001269	0.006457	auto_500_108
TENT_DUM	0.00455	0.047363	auto_500_108
BI	0.001598	0.013444	auto_500_108
PAC	0.000193	0.00159	auto_500_108
SARA	0.000868	0.006786	auto_500_108
PAC_SARA	0.000433	0.006003	auto_500_108
BI_PAC_SARA	0.002897	0.04087	auto_500_108
TENT_DUM_BI_PAC_SARA	0.001387	0.017481	auto_500_108
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_108
LIN	0.010597	0.13331	auto_500_109
AFR	0.000769	0.009094	auto_500_109
MIM	0.001146	0.008665	auto_500_109
AFR_MIM	0.004366	0.059031	auto_500_109
TENT	0.000968	0.006293	auto_500_109
DUM	0.001114	0.005975	auto_500_109
TENT_DUM	0.004828	0.047154	auto_500_109
BI	0.001713	0.013713	auto_500_109
PAC	0.000201	0.00186	auto_500_109
SARA	0.00088	0.00657	auto_500_109
PAC_SARA	0.00055	0.006915	auto_500_109
BI_PAC_SARA	0.002856	0.041516	auto_500_109
TENT_DUM_BI_PAC_SARA	0.00144	0.01921	auto_500_109
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_109
LIN	0.010731	0.138019	auto_500_10
AFR	0.000983	0.008524	auto_500_10
MIM	0.00116	0.00943	auto_500_10
AFR_MIM	0.00481	0.057704	auto_500_10
TENT	0.001095	0.006527	auto_500_10
DUM	0.001329	0.007177	auto_500_10
TENT_DUM	0.004752	0.047636	auto_500_10
BI	0.001618	0.013717	auto_500_10
PAC	0.000169	0.00166	auto_500_10
SARA	0.000993	0.006598	auto_500_10
PAC_SARA	0.000563	0.00724	auto_500_10
BI_PAC_SARA	0.002972	0.041286	auto_500_10
TENT_DUM_BI_PAC_SARA	0.001508	0.019882	auto_500_10
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_10
LIN	0.011019	0.137117	auto_500_110
AFR	0.000813	0.008959	auto_500_110
MIM	0.001123	0.008731	auto_500_110
AFR_MIM	0.004402	0.0588	auto_500_110
TENT	0.001027	0.006564	auto_500_110
DUM	0.001197	0.006113	auto_500_110
TENT_DUM	0.004661	0.048989	auto_500_110
BI	0.001669	0.013129	auto_500_110
PAC	0.000226	0.002056	auto_500_110
SARA	0.000975	0.006326	auto_500_110
PAC_SARA	0.000495	0.006158	auto_500_110
BI_PAC_SARA	0.00288	0.041844	auto_500_110
TENT_DUM_BI_PAC_SARA	0.001545	0.018836	auto_500_110
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_110
LIN	0.009414	0.133154	auto_500_111
AFR	0.000794	0.009462	auto_500_111
MIM	0.001083	0.008812	auto_500_111
AFR_MIM	0.00438	0.05714	auto_500_111
TENT	0.001068	0.007045	auto_500_111
DUM	0.001154	0.00677	auto_500_111
TENT_DUM	0.004435	0.047391	auto_500_111
BI	0.001665	0.012876	auto_500_111
PAC	0.000147	0.001953	auto_500_111
SARA	0.000876	0.007083	auto_500_111
PAC_SARA	0.000448	0.006331	auto_500_111
BI_PAC_SARA	0.002739	0.042125	auto_500_111
TENT_DUM_BI_PAC_SARA	0.001187	0.018581	auto_500_111
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_111
LIN	0.010564	0.131974	auto_500_112
AFR	0.000821	0.009126	auto_500_112
MIM	0.001121	0.008626	auto_500_112
AFR_MIM	0.004528	0.057167	auto_500_112
TENT	0.001036	0.006769	auto_500_112
DUM	0.001067	0.006152	auto_500_112
TENT_DUM	0.004589	0.047028	auto_500_112
BI	0.001651	0.013766	auto_500_112
PAC	0.000162	0.001862	auto_500_112
SARA	0.00099	0.006749	auto_500_112
PAC_SARA	0.000486	0.006071	auto_500_112
BI_PAC_SARA	0.002816	0.040733	auto_500_112
TENT_DUM_BI_PAC_SARA	0.001332	0.018428	auto_500_112
LIN_AFR_MIM_TENT_DUM_BI_PAC_SARA	0.0	0.0	auto_500_112
LIN	0.010157	0.134475	auto_500_113
AFR	0.000907	0.008968	auto_500_113
